car_model,price,year_model,kms,color,fueltype
Chevrolet Spark 1.0 Life,$25.000.000,2016,160.421,Blanco,Gasolina
Chevrolet Spark 1.0 Lt M200,$19.500.000,2013,154.000,Blanco,Gasolina
Chevrolet Spark Spark life ls 2015 con aire,$23.900.000,2015,53.000,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$21.000.000,2012,126.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$31.000.000,2015,92.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$28.300.000,2014,190.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$32.800.000,2017,94.495,Blanco,Gasolina
Chevrolet Spark Gt 2017 Ltz 1200cc Mecanico Full ,$34.000.000,2017,85.120,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.500.000,2016,97.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$22.500.000,2013,115.000,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2016,33.750,Plateado,Gasolina
Chevrolet Spark Gt 2015,$32.500.000,2015,126.000,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$30.500.000,2015,84.000,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$29.500.000,2018,84.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300,$26.000.000,2012,115.000,Gris,Gasolina
Chevrolet Spark GT 1.2 Ltz,$37.800.000,2018,76.800,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$36.000.000,2018,68.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$31.800.000,2017,111.000,Gris,Gasolina
Chevrolet Spark,$37.000.000,2008,97.000,Amarillo,Gasolina
 ,0,0,0,,
Chevrolet Spark 1.0 Life,$27.900.000,2018,67.000,Rojo,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$21.500.000,2011,114.050,Rojo,Gasolina
Chevrolet Spark Gt Ltz 2013,$26.500.000,2013,109.000,Plateado,Gasolina
Chevrolet Spark Gt,$30.500.000,2015,107.300,Azul,Gasolina
Chevrolet Spark 1.0 Life,$30.000.000,2019,65.459,Gris,Gasolina
Chevrolet Spark Gt Gt 1.2,$26.000.000,2013,99.500,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$20.999.900,2015,160.000,Negro,Gasolina
Chevrolet Spark 1.0 Go,$23.000.000,2009,131.490,Azul,Gasolina
Chevrolet Spark Gt,$28.900.000,2013,117.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$29.800.000,2015,107.777,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$31.900.000,2015,90.000,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$31.000.000,2014,97.000,Plateado,Gasolina
Chevrolet Spark GT 1.2 Ltz,$35.500.000,2018,88.000,Gris,Gasolina
Chevrolet Spark Ltz,$37.900.000,2018,105.000,Blanco,Gasolina
Chevrolet Spark GT 1.2 Ls,$34.900.000,2019,89.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$36.000.000,2015,128.900,Gris,Gasolina
Chevrolet Spark Gt Ltz,$26.900.000,2013,122.000,Negro,Gasolina
Chevrolet Spark Gt 2011,$25.900.000,2011,106.000,Rojo,Gasolina
